market_id,name,banner_url,sort_order,physical_stalls
kovan_market,"""QQ Fresh Juice Ice Blend"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/QQ_Fresh_Juice_Ice_Blend.jpg,1,[1]
kovan_market,"""Lee Brother's Otah"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Lee_Brother's_Otah.jpg,2,[2]
kovan_market,"""Yew Kee Duck Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yew_Kee_Duck_Rice.jpg,3,[3]
kovan_market,"""Chun Fu Fishball Minced Meat Noodle Laksa"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Chun_Fu_Fishball_Minced_Meat%20Noodle_Laksa.jpg,4,[4]
kovan_market,"""Fa Ji Minced Meat Fishball Noodles""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Fa_Ji_Minced_Meat%20Fishball_Noodles.jpg,5,[5]
kovan_market,"""Nan Fang Ming Cha Shi Drinks"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Nan_Fang%20Ming_Cha_Shi_Drinks.jpg,6,[6]
kovan_market,"""Tian Fa Lormee"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Tian_Fa_Lormee.jpg,7,[7]
kovan_market,"""Jin Ding Xiang"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Jin_Ding_Xiang.jpg,8,[8]
kovan_market,"""Mei Wei Dessert"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Mei_Wei_Dessert.jpg,9,[9]
kovan_market,"""Pontian Wanton Noodles"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Pontian_Wanton_Noodles.jpg,10,[10]
kovan_market,"""Xing Xing Cooked Food"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Xing_Xing_Cooked_Food.jpg,11,[11]
kovan_market,"""Qing Liang Traditional Sugar Cane Juice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Qing_Liang_Traditional_Sugar_Cane_Juice.jpg,12,[12]
kovan_market,"""Ng Guan Huat""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Ng_Guan_Huat.jpg,13,[13]
kovan_market,"""Whampoa Soya Bean""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Whampoa_Soya_Bean.jpg,14,[14]
kovan_market,"""Yuan Yang Spinach Soup"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yuan_Yang_Spinach_Soup.jpg,15,[15]
kovan_market,"""A1 Kway Chap - Duck Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/A1_Kway_Chap_-_Duck_Rice.jpg,16,[16]
